City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,arzamas,55.3949,43.8399,32.05,68,99,8.55,RU,2024-04-05 19:24:19
131,pisco,-13.7,-76.2167,80.65,61,0,20.71,PE,2024-04-05 19:24:19
132,liwale,-9.7667,37.9333,68.99,98,100,3.76,TZ,2024-04-05 19:24:19
133,noshiro,40.2039,140.0242,38.17,65,6,5.39,JP,2024-04-05 19:23:56
134,luderitz,-26.6481,15.1594,62.04,70,100,19.98,NA,2024-04-05 19:24:19
135,tommot,58.9564,126.2925,4.73,98,100,1.68,RU,2024-04-05 19:24:20
136,mahina,-17.5065,-149.489,85.77,74,75,2.3,PF,2024-04-05 19:23:42
137,hasaki,35.7333,140.8333,50.29,80,100,14.83,JP,2024-04-05 19:24:20
138,astrakhan,46.3497,48.0408,53.47,71,100,6.71,RU,2024-04-05 19:24:20
139,enewetak,11.3474,162.3373,80.47,76,75,19.98,MH,2024-04-05 19:24:20
140,chegdomyn,51.1167,133.0167,32.86,74,100,7.25,RU,2024-04-05 19:24:20
141,virginia beach,36.8529,-75.978,62.04,38,75,8.05,US,2024-04-05 19:21:15
142,hermanus,-34.4187,19.2345,61.81,66,100,17.38,ZA,2024-04-05 19:24:21
143,cabedelo,-6.9811,-34.8339,88.47,76,14,11.95,BR,2024-04-05 19:22:20
144,hobyo,5.3505,48.5268,84.67,68,94,15.52,SO,2024-04-05 19:24:21
145,badger,64.8,-147.5333,35.38,87,100,0.0,US,2024-04-05 19:24:21
146,fort bragg,35.139,-79.006,64.24,33,20,16.11,US,2024-04-05 19:24:21
147,jinka,5.65,36.65,65.66,88,100,1.72,ET,2024-04-05 19:24:21
148,margate,51.3813,1.3862,57.87,73,100,4.0,GB,2024-04-05 19:23:35
149,polyarnyy,69.1989,33.4478,13.32,89,22,11.1,RU,2024-04-05 19:24:22
150,yambio,4.5721,28.3955,74.55,77,93,3.22,SS,2024-04-05 19:24:22
151,machico,32.7,-16.7667,71.01,91,75,11.5,PT,2024-04-05 19:24:22
152,susuman,62.7833,148.1667,-12.01,100,94,1.01,RU,2024-04-05 19:24:22
153,amga,60.8953,131.9608,12.42,94,100,6.96,RU,2024-04-05 19:24:22
154,newman,37.3138,-121.0208,50.05,81,100,5.99,US,2024-04-05 19:24:22
155,bangar,16.8936,120.4243,79.57,70,69,4.07,PH,2024-04-05 19:24:23
156,greenville,35.6127,-77.3663,62.13,38,40,14.97,US,2024-04-05 19:19:39
157,bubaque,11.2833,-15.8333,75.97,84,66,9.71,GW,2024-04-05 19:24:23
158,talcahuano,-36.7167,-73.1167,64.08,68,0,14.97,CL,2024-04-05 19:20:15
159,dexter,36.7959,-89.9579,60.85,44,6,5.53,US,2024-04-05 19:23:56
160,swakopmund,-22.6833,14.5333,60.98,85,36,5.99,NA,2024-04-05 19:24:23
161,lubin,51.4009,16.2015,63.75,69,100,14.05,PL,2024-04-05 19:24:23
162,usogorsk,63.4106,48.6872,6.67,94,18,5.08,RU,2024-04-05 19:24:23
163,mundri,-6.9558,111.71,76.6,94,100,3.22,ID,2024-04-05 19:24:24
164,geraldton,-28.7667,114.6,63.01,88,55,5.75,AU,2024-04-05 19:24:24
165,jiuquan,39.7432,98.5174,47.43,51,8,4.03,CN,2024-04-05 19:24:24
166,ma'ili,21.4219,-158.1803,80.62,55,75,10.36,US,2024-04-05 19:24:24
167,qarauyl,48.9451,79.255,41.32,66,73,5.75,KZ,2024-04-05 19:24:24
168,utrik,11.2278,169.8474,80.13,77,100,19.39,MH,2024-04-05 19:21:17
169,mogocha,53.7333,119.7667,10.53,90,14,3.83,RU,2024-04-05 19:24:25
170,dampit,-8.2116,112.7493,71.38,95,100,1.14,ID,2024-04-05 19:24:25
171,nuuk,64.1835,-51.7216,30.81,69,0,13.8,GL,2024-04-05 19:20:15
172,oyama,36.3,139.8,55.58,75,100,3.31,JP,2024-04-05 19:24:25
173,north bend,43.4065,-124.2243,52.27,66,20,0.0,US,2024-04-05 19:24:25
174,yuxia,34.0615,108.6291,48.81,81,100,3.2,CN,2024-04-05 19:24:26
175,selfoss,63.9331,-20.9971,34.05,49,100,8.03,IS,2024-04-05 19:24:26
176,carnarvon,-24.8667,113.6333,76.05,63,0,15.26,AU,2024-04-05 19:24:26
177,mar del plata,-38.0023,-57.5575,68.95,66,0,20.0,AR,2024-04-05 19:23:53
178,malakal,9.5334,31.6605,90.66,41,81,4.7,SS,2024-04-05 19:24:26
179,tsiombe,-25.3,45.4833,73.51,89,0,3.24,MG,2024-04-05 19:24:26
180,ust-nera,64.5667,143.2,-5.76,97,47,3.2,RU,2024-04-05 19:24:27
181,al hazm,16.1641,44.7769,80.96,44,27,3.04,YE,2024-04-05 19:24:27
182,madalena,41.2162,-8.3345,75.31,46,98,9.93,PT,2024-04-05 19:24:27
183,tiksi,71.6872,128.8694,-19.46,100,100,3.94,RU,2024-04-05 19:24:27
184,hilo,19.7297,-155.09,73.26,81,20,8.05,US,2024-04-05 19:24:27
185,arkhangel'sk,64.5401,40.5433,7.12,92,0,0.0,RU,2024-04-05 19:24:27
186,collie,-33.3667,116.15,59.99,48,100,4.03,AU,2024-04-05 19:24:28
187,le port,-20.9373,55.2919,78.8,84,0,4.27,RE,2024-04-05 19:24:28
188,weyburn,49.6668,-103.8511,55.62,33,100,36.82,CA,2024-04-05 19:23:03
189,tabou,4.423,-7.3528,82.24,78,43,9.1,CI,2024-04-05 19:24:28
190,dudinka,69.4058,86.1778,9.68,93,100,21.99,RU,2024-04-05 19:24:28
191,kodiak,57.79,-152.4072,38.71,60,0,17.27,US,2024-04-05 19:24:28
192,kekri,25.9667,75.15,81.55,21,98,7.56,IN,2024-04-05 19:24:28
193,nemuro,43.3236,145.575,35.01,83,100,10.2,JP,2024-04-05 19:24:28
194,carnot,4.9409,15.8665,73.33,88,100,3.62,CF,2024-04-05 19:24:29
195,aleksandrovsk,59.158,57.5624,19.8,74,99,10.98,RU,2024-04-05 19:24:29
196,ulety,51.3572,112.4849,31.03,69,100,12.26,RU,2024-04-05 19:24:29
197,hithadhoo,-0.6,73.0833,79.54,88,100,9.31,MV,2024-04-05 19:21:21
198,shinyanga,-3.6667,33.4333,68.58,90,85,4.41,TZ,2024-04-05 19:24:29
199,tukrah,32.5341,20.5791,61.2,82,0,10.69,LY,2024-04-05 19:24:29
200,port elizabeth,-33.918,25.5701,63.32,72,100,5.01,ZA,2024-04-05 19:24:29
201,nova vicosa,-17.8919,-39.3719,82.2,65,0,8.14,BR,2024-04-05 19:20:32
202,coxen hole,16.3244,-86.5366,85.28,70,20,8.05,HN,2024-04-05 19:24:30
203,flying fish cove,-10.4217,105.6791,76.68,100,100,0.0,CX,2024-04-05 19:24:30
204,albany,42.6001,-73.9662,43.95,66,100,10.0,US,2024-04-05 19:21:38
205,ejea de los caballeros,42.1263,-1.1372,64.62,49,100,17.92,ES,2024-04-05 19:24:30
206,ilhabela,-23.7781,-45.3581,79.18,76,16,4.12,BR,2024-04-05 19:24:30
207,ofunato,39.0717,141.7167,42.62,86,10,2.06,JP,2024-04-05 19:24:30
